,open_2,low_2,high_2,close_2,volume_2
2006-02-05,207.22,206.56,209.38,207.14,12488.0
2006-02-06,207.14,206.95,209.15,208.88,11703.0
2006-02-07,208.88,208.29,209.71,208.92,12427.0
2006-02-08,208.92,208.62,210.88,209.46,12241.0
2006-02-09,209.46,208.18,210.08,208.87,11631.0
2006-02-10,208.87,208.42,210.8,209.63,13173.0
2006-02-11,208.87,208.42,210.8,209.63,13173.0
2006-02-12,208.87,208.42,210.8,209.63,13173.0
2006-02-13,209.61,209.47,211.77,210.79,10385.0
2006-02-14,210.79,210.36,212.2,210.63,11872.0
2006-02-15,210.65,209.91,211.48,210.8,12377.0
2006-02-16,210.81,210.45,211.7,210.94,11351.0
2006-02-17,210.94,209.04,212.26,209.09,12210.0
2006-02-18,210.94,209.04,212.26,209.09,12210.0
2006-02-19,210.94,209.04,212.26,209.09,12210.0
2006-02-20,209.11,209.07,210.87,210.64,8235.0
2006-02-21,210.64,210.52,212.21,211.35,9990.0
2006-02-22,211.35,211.12,213.78,212.58,20009.0
2006-02-23,212.6,211.07,213.0,211.88,15687.0
2006-02-24,211.88,210.45,212.89,211.04,12945.0
2006-02-25,211.88,210.45,212.89,211.04,12945.0
2006-02-26,211.88,210.45,212.89,211.04,12945.0
2006-02-27,211.04,211.04,213.15,212.45,10933.0
2006-02-28,212.46,211.37,213.33,211.49,12175.0
2006-03-01,211.49,211.39,213.01,212.11,12355.0
2006-03-02,212.11,210.44,212.73,210.82,13919.0
2006-03-03,210.82,208.9,212.14,209.73,13377.0
2006-03-04,210.82,208.9,212.14,209.73,13377.0
2006-03-05,210.82,208.9,212.14,209.73,13377.0
2006-03-06,209.73,209.35,212.58,212.34,16586.0
2006-03-07,212.37,212.19,214.92,214.08,16254.0
2006-03-08,214.09,213.48,217.39,215.99,13657.0
2006-03-09,215.96,214.81,216.78,215.83,18560.0
2006-03-10,215.83,215.5,218.84,215.96,14708.0
2006-03-11,215.83,215.5,218.84,215.96,14708.0
2006-03-12,215.83,215.5,218.84,215.96,14708.0
2006-03-13,215.96,215.43,221.55,219.38,12709.0
2006-03-14,219.38,216.99,222.41,218.04,14142.0
2006-03-15,218.04,216.33,219.01,216.9,12573.0
2006-03-16,216.88,212.29,217.78,212.82,21914.0
2006-03-17,212.84,211.76,214.88,212.39,35924.0
2006-03-18,212.84,211.76,214.88,212.39,35924.0
2006-03-19,212.84,211.76,214.88,212.39,35924.0
2006-03-20,212.39,212.38,216.09,215.76,21596.0
2006-03-21,215.75,215.21,218.98,218.63,25819.0
2006-03-22,218.62,218.27,221.84,219.41,24266.0
2006-03-23,219.43,217.42,221.69,220.27,22389.0
2006-03-24,220.33,216.89,221.85,216.96,22858.0
2006-03-25,220.33,216.89,221.85,216.96,22858.0
2006-03-26,220.33,216.89,221.85,216.96,22858.0
2006-03-27,217.33,216.88,221.51,221.09,21036.0
2006-03-28,220.99,218.57,221.75,220.95,25013.0
2006-03-29,220.96,220.15,223.14,220.2,13129.0
2006-03-30,220.2,217.49,220.75,217.83,14775.0
2006-03-31,217.83,216.21,220.03,217.7,14556.0
2006-04-01,217.83,216.21,220.03,217.7,14556.0
2006-04-02,217.83,216.21,220.03,217.7,14556.0
2006-04-03,217.7,215.63,219.55,216.01,14024.0
2006-04-04,216.01,215.01,217.86,215.82,15937.0
2006-04-05,215.82,215.37,217.96,216.69,14819.0
2006-04-06,216.71,216.62,220.03,219.74,17103.0
2006-04-07,219.74,217.73,221.36,219.51,14815.0
2006-04-08,219.74,217.73,221.36,219.51,14815.0
2006-04-09,219.74,217.73,221.36,219.51,14815.0
2006-04-10,219.52,219.13,220.87,219.46,10907.0
2006-04-11,219.44,216.95,219.7,217.07,12911.0
2006-04-12,217.1,216.76,219.51,218.71,12554.0
2006-04-13,218.71,218.35,221.41,220.13,12476.0
2006-04-14,220.13,217.79,220.3,218.05,6566.0
2006-04-15,220.13,217.79,220.3,218.05,6566.0
2006-04-16,220.13,217.79,220.3,218.05,6566.0
2006-04-17,218.06,216.98,219.48,217.53,10654.0
2006-04-18,217.53,213.56,218.69,214.59,15033.0
2006-04-19,214.57,213.55,215.88,215.11,15330.0
